time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-28T15:25:21.840Z,39.1221667,-120.0286667,7.02,4.15,mw,37,67,0.1141,0.11,nc,nc73566711,2021-05-31T01:49:08.333Z,"10km SE of Dollar Point, CA",earthquake,0.18,0.59,,3,reviewed,nc,nc
2021-05-21T22:13:18.379Z,-16.6009,-177.3725,10,6.5,mww,,44,4.518,0.96,us,us7000e579,2021-05-29T03:55:30.242Z,"265 km SSE of Alo, Wallis and Futuna",earthquake,7.3,1.4,0.061,26,reviewed,us,us
2021-05-21T18:13:01.142Z,34.4815,99.0842,10,5.4,mb,,43,4.051,0.7,us,us6000ef4i,2021-05-27T14:58:32.119Z,"Southern Qinghai, China",earthquake,8.7,1.9,0.095,43,reviewed,us,us
2021-05-21T18:04:13.537Z,34.6125,98.2458,10,7.3,mww,,9,7.769,0.8,us,us7000e54r,2021-05-26T18:37:38.078Z,"Southern Qinghai, China",earthquake,7.5,1.7,0.037,71,reviewed,us,us
2021-05-21T13:48:37.154Z,25.7654,100.0123,9,6.1,mww,,21,4.476,0.84,us,us7000e532,2021-05-24T22:53:46.707Z,"28 km NW of Dali, China",earthquake,7.7,1.8,0.053,34,reviewed,us,us
2021-05-19T00:42:19.688Z,-33.0647,-109.3943,10,6.7,mww,,31,5.884,0.95,us,us7000e4aw,2021-05-26T00:00:46.040Z,southern East Pacific Rise,earthquake,10.5,1.7,0.083,14,reviewed,us,us
2021-05-14T06:33:07.879Z,0.1364,96.6442,11,6.7,mww,,37,1.487,0.69,us,us7000e2zt,2021-05-28T05:21:41.027Z,"260 km S of Sinabang, Indonesia",earthquake,7.7,1.8,0.048,42,reviewed,us,us
2021-05-13T23:58:14.045Z,37.7079,141.7784,32,6,mww,,34,3.081,0.88,us,us7000e2xd,2021-05-28T21:19:20.433Z,"73 km ENE of Namie, Japan",earthquake,6.7,1.9,0.062,25,reviewed,us,us
2021-05-12T14:05:16.013Z,-17.2495,66.3745,10,6.7,mww,,63,10.776,0.65,us,us7000e2ec,2021-05-16T12:02:26.763Z,Mauritius - Reunion region,earthquake,8.5,1.8,0.058,29,reviewed,us,us
2021-05-11T21:31:01.845Z,40.5284,20.9853,10,1.8,mww,,23,0.994,0.97,us,us7000e277,2021-05-26T16:05:16.060Z,"11 km S of Bilisht, Albania",earthquake,4.6,1.8,0.045,48,reviewed,us,us
2021-05-07T04:35:14.150Z,39.461,-120.3145,10.12,4.65,mw,19,50,0.03461,0.09,nc,nc73559265,2021-05-28T16:19:32.995Z,"19km NW of Truckee, CA",earthquake,0.24,0.54,,3,reviewed,nc,nc
